STATION,NAME,UNITCODE,Year,Month,DATE,EVAP,EVAPMIN,EVAPMAX,PRECIP,SNOW,SNOWDEPTH,TEMPMAX,TEMPMIN,FOG,THUNDER,ICE,HAIL,RIME
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-23,,,,0.41,0,0,41,34,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-24,,,,0.3,0,0,43,27,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-25,,,,0,0,0,53,27,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-26,,,,0,0,0,63,30,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-28,,,,0.42,0,0,56,36,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-01,,,,0.3,0,0,53,38,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-02,,,,0.94,0,0,48,37,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-03,,,,0.85,0,0,44,32,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-04,,,,0.24,0,0,48,27,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-05,,,,0,0,0,51,27,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-06,,,,0,0,0,58,31,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-07,,,,0,0,0,67,38,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-08,,,,0,0,0,68,42,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-09,,,,0,0,0,71,42,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-10,,,,0,0,0,70,42,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-11,,,,0,0,0,73,42,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-12,,,,0.11,0,0,71,48,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-13,,,,0,0,0,66,35,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-14,,,,0,0,0,74,37,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-15,,,,0,0,0,77,50,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-16,,,,0,0,0,77,50,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-17,,,,0,0,0,79,51,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-18,,,,0,0,0,78,52,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-19,,,,0,0,0,69,38,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-20,,,,0,0,0,72,40,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-21,,,,0,0,0,75,46,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-22,,,,0,0,0,77,49,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-23,,,,0,0,0,74,41,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-24,,,,0,0,0,71,43,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,3,2015-03-25,,,,0,0,0,71,43,,,,,
