Region,Type,UnitCode,ParkName,State,Year,Month,Visitors,Camping,OtherLodging,OtherCamping
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2014,1,"2,954",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2014,2,"4,645",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2014,3,"9,564",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2014,4,"20,110",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2014,5,"31,790",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2014,6,"40,058",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2014,7,"45,598",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2014,8,"34,672",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2014,9,"24,368",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2014,10,"18,777",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2014,11,"5,400",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2014,12,"3,328",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2015,1,"3,486",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2015,2,"2,625",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2015,3,"6,552",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2015,4,"13,507",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2015,5,"15,904",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2015,6,"20,274",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2015,7,"23,214",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2015,8,"18,854",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2015,9,"16,516",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2015,10,"13,930",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2015,11,"8,712",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2015,12,"5,031",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2016,1,"5,954",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2016,2,"5,721",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2016,3,"13,005",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2016,4,"23,676",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2016,5,"23,890",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2016,6,"29,233",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2016,7,"52,771",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2016,8,"38,461",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2016,9,"21,779",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2016,10,"20,274",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2016,11,"11,502",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2016,12,"6,229",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2010,1,"10,510",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2010,2,"13,398",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2010,3,"26,080",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2010,4,"57,992",699,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2010,5,"169,898","9,879",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2010,6,"286,635","19,419",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2010,7,"545,382","43,751",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2010,8,"627,918","45,556",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2010,9,"431,001","23,337",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2010,10,"289,114","8,441",0,0
