Season,Name,Basin,Type,MaxWindMPH,MinPressure,StartDate,EndDate,Hem_NS,Hem_EW,Lat,Lon
1981,HAZEN,WP,ET,81,955,13NOV1981,23NOV1981,N,E,13.5,140.7
1989,GIZELA,SI,ET,60,976,16FEB1989,24FEB1989,S,E,-18.9,72.3
1989,LEZISSY,SI,TS,51,984,06APR1989,11APR1989,S,E,-12.4,73
1990,CEZERA,SI,TS,60,976,31JAN1990,11FEB1990,S,E,-11.9,59.7
2010,EDZANI,SI,ET,138,910,04JAN2010,15JAN2010,S,E,-16.1,77
